ID,Data,View_time,searched_game,watched,channel_name,language,last_game_name,stream_title,stream_tags,classification_labels,is_branded_content
15,2025-03-26 08:00,518,grand-theft-auto-v,True,SeergioRP,pt,Grand Theft Auto V,🔞 🔴 VOVO DO CR$ME 🔴OBRIGADO PELA PRESSENÇA DE VOÇES,"['Português', 'Reposição']",['MatureGame'],False
15,2025-03-26 08:00,518,grand-theft-auto-v,False,Ginjinhaa,pt,Grand Theft Auto V,PortugaliaRP ||Daniela Ginja ||💀 Angels of Death 💀|| obrigado a todos pelo apoio,"['Português', 'PortugaliaRP', 'rolepay', 'RedDeadRedempition2']","['MatureGame', 'ProfanityVulgarity']",False
15,2025-03-26 08:00,518,grand-theft-auto-v,False,hazaprp,pt,Grand Theft Auto V,+18 PRODIGY RP -  Em busca do progresso🥷🏿 - !LIVEPIX !PRODIGY,"['RP', 'Português', 'ProdigyRP']",['MatureGame'],False
16,2025-03-26 08:11,501,counter-strike,False,avndeus,pt,Counter-Strike,🔴 RERUN - LOJA TOTALMENTE RENOVADA - SÓ VEM FARMAR (SUB 4X) !LOJA NO CHAT,"['CS2', 'cs2faceit', 'ga', 'gamersclubcs', 'Português']",['MatureGame'],False
16,2025-03-26 08:12,501,counter-strike,True,vovo_grobau,pt,Counter-Strike,"🔥Sorteio de skins na live do vovô! 🎮 Entre na bagunça participe: ❗cupom, ❗sorteio, ❗musica ❗gruporifa ❗luva","['Português', 'CS2', 'counterstrike', 'fps', 'jogosdetiros', 'cs', 'sorteio', 'resenha', 'skins', 'sorteiodeskins']","['DrugsIntoxication', 'Gambling', 'MatureGame', 'ProfanityVulgarity', 'SexualThemes', 'ViolentGraphic']",False
16,2025-03-26 08:12,501,counter-strike,False,duffyfps,pt,Counter-Strike,EU VOLTEI! lives de segunda a sexta ás 8hrs,"['duffy', 'los', 'LosGrandes', 'CS2', 'Português']",['MatureGame'],False
17,2025-03-26 08:22,535,ea-sports-fc-25,False,oBruxoFut,pt,EA Sports FC 25,✨ 3X PP DA LOJA COM TOTY + RUMO AO ELITE + FARMING ❗️tatica ❗️st ❗️lurdinha,"['Português', 'muitoelegante', 'charmoso', 'bonito', 'inteligente', 'carismático', 'educado', 'proplayer', 'futebol', 'fitness']",[],False
17,2025-03-26 08:22,535,ea-sports-fc-25,False,miguelitodoarrocha,pt,EA Sports FC 25,💥packs e Rivais em busca dos 35 pontos  - bem vindos a live do Miguelito Do Arrocha,"['Português', 'Portugal', 'Competitivo', 'resenha', 'Resenhando', 'ultimateteam', 'fifa', 'EAFC', 'eafc25', 'eafcsports']",[],False
17,2025-03-26 08:22,535,ea-sports-fc-25,False,xGuuhGabrielx,pt,EA Sports FC 25,"Rivals Subindo pra Elite em 3 Contas, DMEs, Packs e Resenha | DIGITE !Livepix !cliente !grupo !sorteio !meta","['EASPORTS', 'EAFC', 'eafc25', 'ultimateteam', 'fc25', 'fc25gameplay', 'Português', 'Paivinha29', 'Carpentieri', 'Adolfz']",[],False
18,2025-03-26 12:00,552,counter-strike,False,zaikenfps,pt,Counter-Strike,GC LVL 21 🟢 CSzin e resenha rolando! Vem trocar tiro - SUB FARM 4X  - !lojinha !pix !sens,"['Português', 'CS2', 'games', 'gamer', 'GAMERPRO', 'fps']",['MatureGame'],False
18,2025-03-26 12:00,552,counter-strike,False,brenotheodoro,pt,Counter-Strike,LOJINHA RENOVADA!!! SORTEIO > 4 FACAS | Sorteio basta interajar | !livepix | !csgoskins | !msg | !loja | !strive | !kaspersky,"['Português', 'CS2', 'fps']",['MatureGame'],False
18,2025-03-26 12:00,552,counter-strike,False,duffyfps,pt,Counter-Strike,EU VOLTEI! lives de segunda a sexta ás 8hrs,"['duffy', 'los', 'LosGrandes', 'CS2', 'Português']",['MatureGame'],False
19,2025-03-26 12:11,310,sea-of-thieves,True,Phaclock,pt,Sea of Thieves,"Drops Obsidiano. Bom dia, bora colocar o barco na água.  !instagram !youtube !social !steam","['Coop', 'Português', 'MMORPG', 'aventura', 'Multiplayer', 'online', 'Action', 'variedades', 'mago', 'DropsAtivados']",[],False
19,2025-03-26 12:11,310,sea-of-thieves,False,aatonz,pt,Sea of Thieves,🟢🟡DROPS ON🟡🟢Todos os Drops meia hora antes!!Somente pra quem chegar 30 minutos mais cedo!! E ATUALIZAÇÃO S15.2 vem AMANHÃ!!! BOM DIA!!,"['casual', 'engraçado', 'pirata', 'English', 'Português', 'Yoda', 'Gaules', 'LigadoJorel', 'giveaway', 'DropsAtivados']",[],False
19,2025-03-26 12:11,310,sea-of-thieves,False,jota_play14,pt,Sea of Thieves,jogando sea of thieves na paz (drops ativos),"['Português', 'seaofthieves', 'BR', 'DropsAtivados']",[],True
20,2025-03-26 12:18,501,overwatch-2,False,Reunee,pt,Overwatch 2,🔴 Overwatch até ficar doidão 🤪 | Outlast 2 às 17h,"['Português', 'DropsAtivados']",[],False
20,2025-03-26 12:18,501,overwatch-2,True,Bluezinho2,pt,Overwatch 2,[+18] 💙Aprendendo a jogar OW2. VAMOS LÁ.,"['LGBTQIAPlus', 'Português', 'ＤBD', 'GamesAndChatting', 'Jogandocomespectadores', 'fallguys', 'Gostoso', 'Veganismos', 'Overｗatch2', 'deadbbydaylight']",['ProfanityVulgarity'],False
20,2025-03-26 12:18,501,overwatch-2,False,mae_joga45,pt,Overwatch 2,(+18) 🎮 {DROPS ON} Vem ver oque meu mod esta aprontando com a 📷,"['Português', 'jogodeterror', 'jogofps', 'diversãogarantida', 'DropsAtivados']",[],False
0,2025-03-26 20:00,492,sea-of-thieves,False,ofernandomaidana,pt,Sea of Thieves,DROPS 🟢 ALEGRIA E PIRATARIA !cmd !playlist,"['Português', 'seaofthieves', 'pirata', 'SongRequests', 'songrequest', 'SeaOfThievesPartner', 'SeaofThievesgameplay', 'English', 'DropsAtivados']",[],False
0,2025-03-26 20:00,492,sea-of-thieves,False,HWmalk,pt,Sea of Thieves,☕ DROPS OBSIDIANOS & CAFÉ ☕,"['Português', 'AMA', 'Brasil', 'RPG', 'música', 'Conversação', 'RockRoll', 'Ansiedade', 'Interativo', 'DropsAtivados']",[],False
0,2025-03-26 20:00,492,sea-of-thieves,False,iamcomH,pt,Sea of Thieves,[DROPS ON] AHOY!! Bora caçar o brabo dos mares!! Parceiro do @lendasdomar - !discord !pix !loja !comandos,"['Português', 'Español', 'game', 'conversa', 'seaofthieves', 'DropsAtivados']",[],False
1,2025-03-26 20:10,344,counter-strike,True,waveigl,pt,Counter-Strike,+18 🔞 WAVEIGL ❤️,['Português'],"['MatureGame', 'ProfanityVulgarity']",False
1,2025-03-26 20:11,344,counter-strike,False,leoreis_cs,pt,Counter-Strike,jogando CSGO em 2025 !PIX !venderskin,"['Português', 'counterstrike2', 'CS2']",['MatureGame'],False
1,2025-03-26 20:11,344,counter-strike,False,Gaules,pt,Counter-Strike,O PLANO fe vs MIBR fe ESL Impact League S7 SA  - !socio - Siga @Gaules nas redes sociais!,['Português'],['MatureGame'],True
