ID,Data,View_time,searched_game,watched,channel_name,language,last_game_name,stream_title,stream_tags,classification_labels,is_branded_content
0,2025-03-20 18:40,307,minecraft,False,guisobrevivente_,pt,Minecraft,[CAPE] oi bora conversar ?,"['minecraft', 'guisobrevivente', 'tiktok', 'realista', 'shaders', 'construcao', 'conversa', 'amigavel', 'Português', 'RecompensasEspetadores']",[],False
0,2025-03-20 18:40,307,minecraft,False,ArkanisGG,pt,Minecraft,BAILÃO DO MEIAUM 2.0! VEEEEEM - APOIE EM CATARSE.ME/ARKANIS E PARTICIPE DAS PRÓXIMAS EDIÇÕES!,"['Português', 'RecompensasEspetadores']",[],False
0,2025-03-20 18:40,307,minecraft,False,SenhorPuuppy,pt,Minecraft,LIVE ON | BedWars Party Aberta no Mush!!  COLA AI!!   ❗️dc ❗️sr ❗️pix ❗️textura ❗️overlay,"['minecraft', 'mushmc', 'Português', 'madrugada', 'MADRUGADÃO', 'doutorbiscoito', 'RecompensasEspetadores']",[],False
1,2025-03-20 18:47,550,counter-strike,False,BobSiqueira,pt,Counter-Strike,QUINTA-FEIRA DOS CRIA❗FORMULÁRIO ❗FARM 5X❗TopSkins ❗ Insane gg❗Loja ❗XTSKINS,"['Português', 'Bobzao', 'BobSiqueira', 'CS2', 'cs2stream', 'cs2skin', 'cs2brasil', 'cs2memes', 'cs2gameplay', 'reacts']",['MatureGame'],True
1,2025-03-20 18:47,550,counter-strike,True,shadowsganjaking,pt,Counter-Strike,"🔞LEGALIZANDO O CS2 E A TWITCH🍁-RIFA DA FALCHION DO GANJA ACABANDO, PARTICIPE - !BITS| !PIX |!loja| !CUPOM|","['maconha', '420', 'CS2', 'Brasil', 'portugues', 'ganja', 'brasileiro', 'counterstrike', 'Cannabis', 'CannabisCommunity']",['MatureGame'],False
1,2025-03-20 18:47,550,counter-strike,False,Gaules,pt,Counter-Strike,Dia 2 Furia e Imperial em Campo Blast Open Lisboa 2025 - !socio - Siga @Gaules nas redes sociais! - #AGONBYAOCBR #AOCGaming @AgonByAOCBR,['Português'],['MatureGame'],True
2,2025-03-20 18:59,388,sea-of-thieves,False,Nivyzera,pt,Sea of Thieves,PRIMEIRA VEZ NO MAR DE LADRÕES ✨❗️noping ❗️sociais ❗️pix,"['Português', 'Conversação', 'Mulher', 'Ranked', 'VALORANＴ']",[],False
2,2025-03-20 18:59,388,sea-of-thieves,False,Coutinho0,pt,Sea of Thieves,[PT/ENG] Horrible Helm on sloop HG!! W/@veraxum 🔥!discord 🔥 !lurk,"['Português', 'English', 'PvP', 'tips', 'seaofthieves', 'Streaks', 'hourglassgrind']",[],False
2,2025-03-20 18:59,388,sea-of-thieves,False,TonhoDLang,pt,Sea of Thieves,Ampulheta | Meta do dia: 5 lvls em cada facção | Streamer parceiro do @lendasdomar e CSoTBR 🏴‍☠️ !lendas !csotbr !platina,"['Português', 'Zerandojogos', 'seaofthieves']",[],False
3,2025-03-20 19:07,461,marvel-rivals,False,diggerdyll,pt,Marvel Rivals,[DROPS HABILITADOS] CELESTIAL GAMEPLAY - TOMA GAP - !livepix !elo !drop,"['Português', 'DropsAtivados']",[],False
