ID,Data,View_time,searched_game,watched,channel_name,language,last_game_name,stream_title,stream_tags,classification_labels,is_branded_content
0,2025-04-04 16:02,552,marvel-rivals,True,Dilascio_,pt,Marvel Rivals,SEASON 2 TA CHEGANDO,"['Português', 'Competitivo', 'Conversa', 'top500', 'overwatch', 'English', 'DropsAtivados']",[],False
0,2025-04-04 16:03,552,marvel-rivals,False,ogabsttv,pt,Marvel Rivals,[DROP ON] A TEMPORADA 2 DO MARVEL RIVALS ESTÁ INCRIVEL,"['Português', 'humor', 'engraçado', 'DropsAtivados']",[],False
0,2025-04-04 16:03,552,marvel-rivals,False,EdigasZ,pt,Marvel Rivals,EMMA FROST OH WOW | !tiktok !youtube,"['Português', 'DropsAtivados']",[],False
1,2025-04-04 16:14,487,the-sims-4,False,Lazy_Boness,pt,The Sims 4,+18 Bora jogar? Let's go gaming! pt-br/en,"['games', 'scary', 'fun', 'ghost', 'conversa', 'Português', 'divertido', 'Inglês', 'jogos']",[],False
1,2025-04-04 16:14,487,the-sims-4,True,KaiyuRX,pt,The Sims 4,₊˚ʚ Desafio BDL - Barbie Advogada ˚₊❗Discord❗Desafio,"['Português', 'LBGTAQplus', 'Cozy', 'thesims']",[],False
1,2025-04-04 16:14,487,the-sims-4,False,MirianeOliveira,pt,The Sims 4,Usando o Chat GPT para criar melhorias pro nosso Not So Berry  | !clip !discord !sociais !loja,"['Português', 'simulação', 'simulador', 'brasil', 'ptbr']",[],False
2,2025-04-04 16:23,469,roblox,False,NanaLlVE,pt,ROBLOX,"Live especial de 12 horas, vem✨| !Server !Enxada !Sr !pix !lurk","['Português', 'conversa', 'Mulher', 'EspaçoSeguro', 'familyfrienly']",[],False
2,2025-04-04 16:24,469,roblox,True,yTowak,pt,ROBLOX,🔴 VALENDO 1 MILHÃO de DOLARES! A GRANDE FINAL do THE HUNT MEGA EDITION! ROBLOX LIVE,"['ytowak', 'ytowakgb', 'ytowaklive', 'Português', 'roblox']",[],False
2,2025-04-04 16:24,469,roblox,False,ThataBigmom,pt,ROBLOX,SEXTAMOS GRAÇAS A DEUS❗lojinha ❗ insta ❗ pix,['Português'],[],True
3,2025-04-04 16:33,481,sea-of-thieves,False,ofernandomaidana,pt,Sea of Thieves,⚓ SEXTAMOS EM ALTO MAR ⚓ !cmd !playlist,"['Português', 'seaofthieves', 'pirata', 'SongRequests', 'songrequest', 'SeaOfThievesPartner', 'SeaofThievesgameplay', 'English']",[],False
3,2025-04-04 16:33,481,sea-of-thieves,True,JujubaNeko,pt,Sea of Thieves,[PT/BR +18] SEI LÁ... O DIA TA MEIO CINZA! (XBOX SERIES S) - Código Epic JUJUBANEKO !cmds,"['Anime', 'MãeGamer', 'Brasil', 'Português', 'XboxSeriesS', 'PvP', 'Multiplayer', 'PvE', 'Aventura', 'Cooperativo']",['ProfanityVulgarity'],False
3,2025-04-04 16:33,481,sea-of-thieves,False,playinghazel,pt,Sea of Thieves,Sextou! Só o CAOS salva o MAR! Campanha Plus - Dia 4. Como ajudar? -> !plus + Desafios -> !roda | !redes !discord !lendasdomar,"['SeaofThieves', 'Português', 'LGBTQIAPIus', 'PvP', 'PvE']",[],False
4,2025-04-04 20:00,455,minecraft,True,Paranoyc__,pt,Minecraft,MushMC - BEDWARS 100% 🎩  🔥 ❗DC ❗PIX ❗COMANDOS,"['Português', 'ＧTA5', 'minecraft', 'mushmc', 'Hylexmc', 'bedwars', 'BedwarsHypixel', 'hypixel', 'RecompensasEspetadores']",[],False
4,2025-04-04 20:00,455,minecraft,False,Lissyanna,pt,Minecraft,Mais um dia de cobblemon DROP ON -  !Bear !RP !instagram !discord !pix !doar,"['Português', 'Reposição', 'RecompensasEspetadores']",[],True
4,2025-04-04 20:00,455,minecraft,False,guisobrevivente_,pt,Minecraft,mine calminho e conversa,"['minecraft', 'games', 'conversa', 'construcao', 'shaders', 'capa', 'Português', 'RecompensasEspetadores']",[],False
