ID,Data,channel_name,language,last_game_name,stream_title,stream_tags,classification_labels,is_branded_content
0,2025-04-10 00:03,Clix,en,Fortnite,"🚨 Pro Tokens w/ Peterbot, Eomzo, Khanada, Reet & More 🚨 WERE BACK BABY LETS GOO",['English'],[],False
0,2025-04-10 00:03,FroggerOW,en,Overwatch 2,💀 CRAZY STREAM TODAY💀 #WhatTheHell,"['Australian', 'English']",[],False
0,2025-04-10 00:03,caseoh_,en,Half Sword,🟨PREPARED FOR BATTLE🟨,['English'],[],False
0,2025-04-10 00:03,Sigy,en,Sea of Thieves,🔴SICK WOO🔴30/100 days in a row🔴NEW SPONSOR! !OperaGX,['English'],[],True
0,2025-04-10 00:03,TypicalGamer,en,Fortnite,"👑 FNCS PLAY-IN, DAY 1! 👑 /w @richhomiequinn @Leomariwnl 👑 @bloodx Coaching","['English', 'PC', 'Multiplayer', 'PvP', 'Fortnite']",[],False
0,2025-04-10 00:03,tarik,en,VALORANT,WHAT UP G - Twitter @tarik,['English'],[],False
0,2025-04-10 00:03,GAdamou10_,en,EA Sports FC 25,#1 NA PRO COOKING IN THE ELITE DIVISION!!! (ENG/GRE),['English'],[],False
0,2025-04-10 00:03,yrChuki,en,EA Sports FC 25,DAY 9 OF NO CRASH OUT! 3608/3700 FOLLOWER GOAL!,"['FIFA', 'Football', 'English']",[],False
0,2025-04-10 00:03,MIKEYCARTEL,en,EA Sports FC 25,WASHED ELITE RIVALS GAMEPLAY!,"['messi', 'English', 'Espàñol', 'proclubs', 'Fortnite', 'ESP', 'ENG', 'MEX', 'EAFC']",[],False
1,2025-04-10 00:14,Clix,en,Fortnite,"🚨 Pro Tokens w/ Peterbot, Eomzo, Khanada, Reet & More 🚨 WERE BACK BABY LETS GOO",['English'],[],False
1,2025-04-10 00:14,NickEh30_VODs,en,Fortnite,Official 24/7 NickEh30 Channel,"['Canadian', 'Positivity', 'BattleRoyale', 'PC', 'FamilyFriendly', 'Multiplayer', 'PVP', 'PlayingWithViewers', 'Drops', 'English']",[],False
1,2025-04-10 00:15,jidionpremium,en,Just Chatting,PRED-A-THON🧁|| Irl Pred Catch || Arkansa [DAY 2.5/8],"['English', 'funny', 'IRL']",[],False
1,2025-04-10 00:15,PewDiePie,en,Minecraft,Minecraft Reruns ∞ Binge @PewDiePie vids 24/7 with chat ∞ !video,"['Minecraft', 'YouTube', 'AlwaysOn', 'English', 'Rerun']",[],True
1,2025-04-10 00:15,FroggerOW,en,Overwatch 2,💀 CRAZY STREAM TODAY💀 #WhatTheHell,"['Australian', 'English']",[],False
1,2025-04-10 00:15,TypicalGamer,en,Fortnite,"👑 FNCS PLAY-IN, DAY 1! 👑 /w @richhomiequinn @Leomariwnl 👑 @bloodx Coaching","['English', 'PC', 'Multiplayer', 'PvP', 'Fortnite']",[],False
1,2025-04-10 00:15,Viper,en,League of Legends,Mid lane challenge day 10 Masters 361lp start,['English'],[],False
1,2025-04-10 00:15,Lourlo,en,League of Legends,🔴 OFFMETA TO CHALLENGER 🔴 MAKING WAVES 🔴 DONT MISS IT 🔴 BIG PACE 🔴 fredPls 🔴 2K subs tonight 🔴 !newvid !ig !tts !tiktok !youtube,"['pro', 'ranked', 'Challenger', 'English', 'Anime', 'rumble', 'poppy', 'teamliquid', 'xdd', 'Arena']",[],False
1,2025-04-10 00:15,Pobelter,en,League of Legends,MVP (AGAIN) of NACL match (100% MVP rate) playing challenger solo q (top 0.0043% player)(W streamer eugene) (powered by !opgg) !aw,"['English', 'Chill', 'Anime', 'RotisserieChickens', 'lebronjames', 'xddfreezone']",[],False
2,2025-04-10 04:02,Oatley,en,Fortnite,"OCE FNCS PLAY-IN | Code ""Oatley"" #ad | !socials !youtube !delay","['FamilyFriendly', 'Fortnite', 'BattleRoyale', 'Multiplayer', 'Competitive', 'Professional', 'Positivity', 'PC', 'English']",[],False
2,2025-04-10 04:02,August,en,Overwatch 2,🔴TOP 500 SUPPORTING🔴So called Minecraft movie fans when faced with a 18hr shift in a coal mine. (child's play) !NEWVID ON YT,"['Kiriko', 'Support', 'ADHD', 'Anime', 'Top500', 'English', 'Ana', 'Juno']",[],False
2,2025-04-10 04:02,TenZ,en,League of Legends,got a haircut today :D,"['English', 'Anime', 'FPS', 'tenz']",[],False
2,2025-04-10 04:02,dafran,en,Overwatch 2,Poppin off in ways you have never seen before,['English'],[],False
2,2025-04-10 04:02,flotsam,en,Sea of Thieves,Solo Sloop PvP Chaos 🐛,"['Solo', 'PvP', 'English']",[],False
2,2025-04-10 04:02,Nautilifts,en,Marvel Rivals,☢️RANK #1 BRUCE BANNER☢️ || MR S2 Waiting Room // long stream ➔ !tiktok !discord,"['English', 'chill', 'aura', 'Marvel', 'marvelrivals', 'BruceBanner']",[],True
2,2025-04-10 04:02,AxolotlWithAxes,en,League of Legends,NA MASTER DRAVEN POSITIVE VIBES :3,"['Draven', 'ADC', 'League', 'LOL', 'Jinx', 'English']",[],False
2,2025-04-10 04:02,Visions_Of_V_,en,League of Legends,🔥RANK 5 YASUO🔥GM CLIMB🔥DESCENDANT OF GREATNESS🔥!DISCORD🔥!GIRTH🔥FOLLOW🔥SUB🔥,"['English', 'Anime', 'chill', 'ADHD', 'yasuo', 'yasuomain', 'Yassuo', 'Yonemain', 'Yone', 'DEVILMAYCRY']",[],False
2,2025-04-10 04:02,SLICKTV,en,League of Legends,kennen otp | cozy vibes,"['English', 'Cozy', 'Chill', 'Kennen', 'Filipino', 'Pinoy', 'pride', 'Lumpia', 'AsianAmerican', '5ft7btw']",[],False
3,2025-04-11 16:02,Necros,en,Marvel Rivals,[!DROPS ENABLED] SEASON 2 IS FINALLY HERE. EMMA FROST HAS COME AND SO HAVE I.,"['English', 'spiderman', 'blackpanther', 'DropsEnabled']",[],False
3,2025-04-11 16:02,AuzioMF,en,EA Sports FC 25,90+ x5 PACKS RIGHT NOW! 🚨 !433 !prime !tts @AuzioMF,['English'],[],False
3,2025-04-11 16:02,MrSavage,en,Fortnite,SOLO CASH CUP | !HALLUCINA !CROSSHAIR !PING CODE 200IQ,"['English', 'vogue', 'model']",[],False
3,2025-04-11 16:02,AussieAntics,en,Fortnite,🏆 WATCHING SOLO CASH CUP 🏆 FNCS GRAND-FINALS IN 15 DAYS ⏰,['English'],[],False
3,2025-04-11 16:02,dannyaarons,en,EA Sports FC 25,"⚠️ 200,000 FC POINTS ⚠️ 90+ X5 TODAY ⚠️ RTG ⚠️ PSN: AannyDarons ⚠️",['English'],[],False
3,2025-04-11 16:02,Ninja,en,Marvel Rivals,"NEW DROPS ON | Marvel Rivals, Season 2, Hellfire Gala #AD | God is good ❤️","['English', 'Ninja', 'BattleRoyale', 'Chapter6', 'YouKnowWhatsCrazy', 'LowTaperFade', 'ItsMassive', 'StillDraggingIt', 'SaveYourSkin', 'DropsEnabled']",[],False
3,2025-04-11 16:03,Charmelian,en,The Sims 4,D&D LEGACY ⚔️  Fairy Bard Gen [day 9] !lnl !shell,"['Chatty', 'Cozy', 'English', 'ClosedCaptions', 'LegacyChallenge', 'DnD']",[],False
3,2025-04-11 16:03,rachelcave,en,Ale & Tale Tavern,✨🍺 Serving Ales + Telling Tales with @UnstableSparkey 🍺✨ | !shell !EAcode !yt !mmc,"['lgbtqia', 'bisexual', 'anxiety', 'adhd', 'neurodivergent', 'chaos', 'mentalhealth', 'chatty', 'womensguild', 'English']",[],False
3,2025-04-11 16:03,EmrysKay,en,The Sims 4,[KIT GIVEAWAYS] COMMUNITY CAS CHALLENGE TOURS | !legacy !yt !eacreator,"['Transgender', 'Nonbinary', 'LGBTQIA2Plus', 'LilGuy', 'SamWinchesterHateAccount', 'WellEndowed', 'English', 'JeanMoreauProtectionSquad', 'ReMarriedToMomoMisfortune', 'wciffriendly']",[],False
4,2025-04-11 20:02,Necros,en,Marvel Rivals,[!DROPS ENABLED] SEASON 2 IS FINALLY HERE. EMMA FROST HAS COME AND SO HAVE I.,"['English', 'spiderman', 'blackpanther', 'DropsEnabled']",[],False
4,2025-04-11 20:02,lilsimsie,en,The Sims 4,building with *only* high school years!,"['SheHer', 'English']",[],False
4,2025-04-11 20:02,Clix,en,Fortnite,🚨 6FT Handsome Buzz Cut Man WINS SOLO CASHY with MAX passion | TODAYS GONNA BE A GREAT DAY  🚨,['English'],[],False
4,2025-04-11 20:02,JaayMC,en,Minecraft,🌎 Minecraft Viewer SMP! | 🌠 Partner Grind Streamathon (Day 15) 🌈 how are you?! | !partner,"['Survival', 'LGBTQ', 'SafeSpace', 'Cape', 'Drops', 'PlayingWithViewers', 'Chill', 'SMP', 'subathon', 'Minecraft']",[],False
4,2025-04-11 20:02,AussieAntics,en,Fortnite,🏆 WATCHING NA SOLO CASH CUP 🏆PETERBOT POV IN REPLAYS 👀,['English'],[],False
4,2025-04-11 20:02,Linkzzey,en,Minecraft,"🔴Hardcore 46,200+Days|4+Years|11,400+Hours !worldtour","['LetsPlay', 'English', 'Hardcore', 'RPG', 'Permadeath', 'SurvivaI', 'chill', 'hardcoreminecraft', 'FamilyFrendly']",[],False
4,2025-04-11 20:02,KEYS404,en,R.E.P.O.,SCARY ROBOT GAME AHHH | !tts !discord,"['chill', 'English', 'GIGACHAD', 'STOPREADINGTHETAGS', 'femboy', 'GoofyAssStream', 'music', 'sendhelp', 'CS2', 'counterstrike']",[],False
4,2025-04-11 20:02,haleysaurus123,en,Just Chatting,🤩24 HOUR STREAM! 🤩 VARIETY GAMES! PAINTING & BAKING! PEPPAPLAYZ  COSPLAY! JOIN NOW!  |  !discord !youtube,"['English', 'proplayer', 'globalelite', 'alphamale', 'sixfootfive', 'counterstrike', 'cs2']",[],False
4,2025-04-11 20:03,BiggorillaCS,en,Counter-Strike,CS2 Skins and Inventory Inspecting!! Possibly Grinding Stars | !youtube,"['skins', 'cases', 'English', 'tierlist', 'DPH', '4cameras', 'multicam', 'cs2skins', 'csgoskins', 'french']",['MatureGame'],False
5,2025-04-11 20:12,Necros,en,Marvel Rivals,[!DROPS ENABLED] SEASON 2 IS FINALLY HERE. EMMA FROST HAS COME AND SO HAVE I.,"['English', 'spiderman', 'blackpanther', 'DropsEnabled']",[],False
5,2025-04-11 20:12,Clix,en,Fortnite,🚨 6FT Handsome Buzz Cut Man WINS SOLO CASHY with MAX passion | TODAYS GONNA BE A GREAT DAY  🚨,['English'],[],False
5,2025-04-11 20:12,JaayMC,en,Minecraft,🌎 Minecraft Viewer SMP! | 🌠 Partner Grind Streamathon (Day 15) 🌈 how are you?! | !partner,"['Survival', 'LGBTQ', 'SafeSpace', 'Cape', 'Drops', 'PlayingWithViewers', 'Chill', 'SMP', 'subathon', 'Minecraft']",[],False
5,2025-04-11 20:13,lilsimsie,en,The Sims 4,building with *only* high school years!,"['SheHer', 'English']",[],False
5,2025-04-11 20:13,AussieAntics,en,Fortnite,🏆 WATCHING NA SOLO CASH CUP 🏆PETERBOT POV IN REPLAYS 👀,['English'],[],False
5,2025-04-11 20:13,Stewie2K,en,Counter-Strike,gamin? | !store !socials !discord !tradeit,"['English', 'FPS', 'CSGO', 'CS2', 'PRO', 'CS', 'Multiplayer']",['MatureGame'],False
5,2025-04-11 20:13,Doublelift,en,League of Legends,🚀MATCH DAY🚀NEAR AIRPORT VS SUPERNOVA NACL WEEK 3🚀NA to the moon🚀,"['English', 'Furry', 'Vtuber', 'ChineseAmerican', 'kitten', 'kpopstan', 'washed', 'ASMR', 'ThiccGamerGirl']",[],False
5,2025-04-11 20:13,KarasMai,en,League of Legends,2 Challenger Accounts - Rank 1 Kayn World -  !Challenger !discord,"['English', 'kayn']",[],False
5,2025-04-11 20:13,TFBlade,en,League of Legends,NEAR AIRPORT OFFICIAL MATCHES - (0-0),"['English', 'Rank1', 'Toplaner']",[],False
6,2025-04-12 16:02,Clix,en,Fortnite,🚨 WINNING PJ FNCS CHAMPION CUP INTO SOLO CASHY | ITS SATURDAY AHHH 🚨,['English'],[],False
6,2025-04-12 16:02,Necros,en,Marvel Rivals,[!DROPS ENABLED] SEASON 2 IS FINALLY HERE. EMMA FROST HAS COME AND SO HAVE I.,"['English', 'spiderman', 'blackpanther', 'DropsEnabled']",[],False
6,2025-04-12 16:02,MrSavage,en,Fortnite,SOLO CASH CUP FINALS | !HALLUCINA !CROSSHAIR !PING CODE 200IQ,"['English', 'vogue', 'model']",[],False
6,2025-04-12 16:02,Sword4000_,en,Minecraft,🔥 Minecraft 100 Player Hunger Games Charity Event 🔥 I AM STEVE 🔥 CHICKEN JOCKEY 🔥 0 DEATHS!!! 🔥 SURPRISE APPEARANCE 🔥,"['event', 'minecraft', 'hungergamesminecraft', 'sword4000', 'bestplayerintheworld', 'ProfessionalGamer', 'parttimer', 'hungergames', 'English']",[],False
6,2025-04-12 16:02,BushCampDad,en,Fortnite,CROWN WIN AFTER CROWN WIN AFTER CROWN WIN! | USE CODE BUSHCAMPDAD #AD,"['camping', 'Bushcamper', 'treecamper', 'BadPlayerAlert', 'cantbuild', 'FamilyFriendly', 'English', 'wordsonstream']",[],False
6,2025-04-12 16:02,NickEh30,en,Fortnite,Best Memes of Fortnite Chapter 6 | Code NickEh30 #EpicPartner,"['Canadian', 'Positivity', 'BattleRoyale', 'PC', 'FamilyFriendly', 'Multiplayer', 'PVP', 'PlayingWithViewers', 'English', 'Drops']",[],False
6,2025-04-12 16:02,RSDGAWD,en,EA Sports FC 25,IMMORTAL FUT CHAMPS!!! | !442 !tiktok,"['English', 'pro', 'champs', 'TOTY']",[],False
6,2025-04-12 16:03,ryanpessoa_,en,EA Sports FC 25,RTG FUT CHAMPS! !youtube !4231 !disc,"['English', 'fc25', 'gameplay', 'packs']",[],False
6,2025-04-12 16:03,GoalPoacher,en,EA Sports FC 25,💣 PRO MAIN CHAMPS (0-0) 💣 TITI 🔥 💣 !tactics 💣,"['futchamps', 'pro', 'EAFC', 'futchampions', 'ultimateteam', 'FUT', 'English', 'WeekendLeague', 'fc25', 'eafc25']",[],False
7,2025-04-13 04:01,August,en,Overwatch 2,🔴TOP 500 SUPPORTING!🔴Facecam stream so you can see the weekend games drain my sanity one game at a time.,"['Kiriko', 'Support', 'ADHD', 'Anime', 'Top500', 'English', 'Ana', 'Juno']",[],False
7,2025-04-13 04:01,Nautilifts,en,Marvel Rivals,[!DROPS] ☢️RANK #1 BRUCE BANNER☢️ || MR S2 CUSTOMS + RANKED LATER // long stream ➔ !tiktok !discord,"['English', 'chill', 'aura', 'Marvel', 'marvelrivals', 'BruceBanner', 'DropsEnabled']",[],False
7,2025-04-13 04:01,zi8gzag,en,GeoGuessr,World League Warmup,['English'],[],False
7,2025-04-13 04:01,Caedrel,en,League of Legends,🔴DK VS GENG LCK CO STREAM #LCKWatchParty !dpmlol !discord !displate,"['English', 'LPL', 'LCK', 'LEC']",[],False
7,2025-04-13 04:01,Oatley,en,Fortnite,"OCE SOLO CASH CUP FINALS | Code ""Oatley"" #ad | !socials !youtube !fncs !delay","['FamilyFriendly', 'Fortnite', 'BattleRoyale', 'Multiplayer', 'Action', 'Competitive', 'Professional', 'Positivity', 'PC', 'English']",[],False
7,2025-04-13 04:01,CarlCrafts,en,Minecraft,IMPOSSIBLE MINECRAFT - with @queen_ov_drama @sir_nipplington and @jazzlikeonion,"['Australian', 'ADHD', 'Hardcore', 'English', 'Neurodivergent', 'Aussie', 'ClosedCaptions', 'Beard', 'vanilla', 'OCE']",[],False
7,2025-04-13 04:02,MiaMooo_,en,Minecraft,reading AITA and getting some building done !yt !discord,"['LGBTQIAPlus', 'vibesandchill', 'English', 'yapping']",[],False
