ID,Data,channel_name,language,last_game_name,stream_title,stream_tags,classification_labels,is_branded_content
0,2025-04-04 16:03,TcK10,pt,VALORANT,LOUD JOGA HOJE - VCT AMÉRICAS 18:00 !SUPERBET 🏆 !GROWTH 🏆 SIGA EM @TcK10,"['melhordomundo', 'radiante', 'incrível', 'valorant', 'Português']",[],False
0,2025-04-04 16:03,waveigl,pt,Counter-Strike,+18 🔞 WAVEIGL ❤️,['Português'],"['MatureGame', 'ProfanityVulgarity']",False
0,2025-04-04 16:03,Pedro017Yt,pt,Fortnite,🍉!DROPS ON - GRÁTIS EMOTE HOJE 🔥 RESGATE ITENS ASSISTINDO A LIVE (❗loja) 🍉!PIX 🍉,"['Português', 'Fortnite', 'Jogandocomespectadores', 'DropsEnable', 'DropsAtivados']",[],False
0,2025-04-04 16:03,ZAKl1k,pt,Minecraft,🟢 MINECRAFT | ⭐ GANHE ASSISTINDO | 🌟 REESTOQUE DIA 10 ou 16 às 18h | !loja !points !prime !sub,"['Português', 'Minecraft', 'RecompensasEspetadores']",[],False
0,2025-04-04 16:03,NTV_Games,pt,Grand Theft Auto V,🔞 🟢RERUN🟢 🔫liberty🔫 ❗Comandos ❗Pix ❗Instagram ❗tiktok ❗Rs pedir musica..,['Português'],['MatureGame'],False
0,2025-04-04 16:04,AnySthe,pt,Fortnite,[ᴅʀᴏᴘs ᴏɴ] sᴇxᴛᴏᴜ sɪᴍʙᴏʀᴀ !ᴊᴏɢᴀʀ ᴜsᴇ ᴄᴏᴅᴇ: ᴀɴʏsᴛʜᴇ ɴᴀ ᴇᴘɪᴄ ɢᴀᴍᴇs #ᴀᴅ +18,"['fortnite', 'Português', 'marvelrivals', 'TheMortuaryAssistant', 'morena', 'Portugal', 'fps', 'repo', 'DropsAtivados']",[],False
0,2025-04-04 16:04,EdigasZ,pt,Marvel Rivals,EMMA FROST OH WOW | !tiktok !youtube,"['Português', 'DropsAtivados']",[],False
0,2025-04-04 16:04,LuBuuu,pt,Marvel Rivals,TESTE DA SEASON 2 AS 20 HORAS. GRIND ONE ABOVE ALL ATÉ LÁ !comando !youtube !tiktok,"['Português', 'Brasil', 'marvelrivals', 'LearningEnglish', 'Competitivo', 'English', 'DropsAtivados']",[],False
0,2025-04-04 16:04,ogabsttv,pt,Marvel Rivals,[DROP ON] A TEMPORADA 2 DO MARVEL RIVALS ESTÁ INCRIVEL,"['Português', 'humor', 'engraçado', 'DropsAtivados']",[],False
1,2025-04-04 16:14,Pedro017Yt,pt,Fortnite,🍉!DROPS ON - GRÁTIS EMOTE HOJE 🔥 RESGATE ITENS ASSISTINDO A LIVE (❗loja) 🍉!PIX 🍉,"['Português', 'Fortnite', 'Jogandocomespectadores', 'DropsEnable', 'DropsAtivados']",[],False
