Timestamp,Usuário,Canal,Mensagem
Timestamp,Usuário,Canal,Mensagem
2025-04-02 18:05:32,allecara,alanzoka,banheiro no meio do caminho
2025-04-02 18:05:34,sakachii_,alanzoka,aewithSit
2025-04-02 18:05:39,believemystica,alanzoka,Dá?
2025-04-02 18:05:39,welington58,alanzoka,!nuuvem
2025-04-02 18:05:39,nightbot,alanzoka,Compre jogos e gift cards mais baratos! Use o cupom ALANZOKA para obter 10% OFF https://bit.ly/alanzoka__nuuvem
2025-04-02 18:05:40,hitashitwitch,alanzoka,coloca árvore em volta
2025-04-02 18:05:40,slakk25,alanzoka,alanzShrug
2025-04-02 18:05:41,piadodjanh0,alanzoka,a
2025-04-02 18:05:41,ankabov,alanzoka,e quem limpa esse lugar
2025-04-02 18:05:41,giiizoka,alanzoka,peepoPopcorn
2025-04-02 18:05:44,tal_do_corona,alanzoka,ele falou algo sobre a live de ontem?
2025-04-02 18:05:51,believemystica,alanzoka,E matinho também
2025-04-02 18:05:53,apol0gam,alanzoka,QUANDO VOCÊ COMEÇAR A ESCREVER O ROTEIRO O FILME VAI MELHORAR alanzPOP alanzPOP alanzPOP alanzPOP
2025-04-02 18:05:54,believemystica,alanzoka,Que
2025-04-02 18:05:55,theiago,alanzoka,Eu acho que o nome do próximo filme poderia ser Plástico hein alanzoka seria dahora
2025-04-02 18:05:55,crazynho1,alanzoka,nilaYikes
2025-04-02 18:05:55,governodoriodejaneiro,alanzoka,alanzGorfo
2025-04-02 18:05:56,hitashitwitch,alanzoka,@tal_do_corona falou
2025-04-02 18:05:59,juniorferreira,alanzoka,Cagar no mato
2025-04-02 18:06:00,annabethblue,alanzoka,alanzGorfo
2025-04-02 18:06:00,lunet___,alanzoka,alanzGorfo
2025-04-02 18:06:00,believemystica,alanzoka,Kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
2025-04-02 18:06:01,slakk25,alanzoka,@tal_do_corona oq tem pra falar
2025-04-02 18:06:03,karol_from_thebordelands,alanzoka,kkkkkkkkkkkk
2025-04-02 18:06:03,batsuke,alanzoka,"@tal_do_corona sim, era um enigma"
2025-04-02 18:06:03,sakachii_,alanzoka,yuyixFear
2025-04-02 18:06:04,cassio_oloko,alanzoka,alanzDerp
2025-04-02 18:06:04,srmelancia,alanzoka,KKKKKKKKKKKKKKKKKKKKKKKKKK
2025-04-02 18:06:04,mylittlep0lly,alanzoka,D:
2025-04-02 18:06:05,vomaifa1,alanzoka,ta podi
2025-04-02 18:06:05,guschch,alanzoka,KKona
2025-04-02 18:06:07,srmelancia,alanzoka,quase que o junior vai
2025-04-02 18:06:08,believemystica,alanzoka,Mano
2025-04-02 18:06:09,crazynho1,alanzoka,@Juniorferreira esse é o nosso diretor
2025-04-02 18:06:12,delicatta,alanzoka,Quero um filme de romance
2025-04-02 18:06:13,shinobusy,alanzoka,filme de 1 ator é foda
2025-04-02 18:06:14,believemystica,alanzoka,eavLUL
2025-04-02 18:06:15,slakk25,alanzoka,alanzGorfo
2025-04-02 18:06:16,espaguete_cosmic0,alanzoka,Despairge  gore
2025-04-02 18:06:17,juniorferreira,alanzoka,@crazynho1 niloWc
2025-04-02 18:06:18,mylittlep0lly,alanzoka,KKKKKKKKKKKKK
2025-04-02 18:06:19,guaxinimgotica,alanzoka,!jogo
2025-04-02 18:06:19,nightbot,alanzoka,Jogo atual: The Movies
2025-04-02 18:06:21,apol0gam,alanzoka,FICA ATÉ UM AR MELHOR
2025-04-02 18:06:21,biaoliveiraxo,alanzoka,o cara é MT fluente em inglês
2025-04-02 18:06:21,sakachii_,alanzoka,yuyixSideeye
2025-04-02 18:06:22,believemystica,alanzoka,Kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
2025-04-02 18:06:23,rynpxo,alanzoka,pepeD
2025-04-02 18:06:23,crazynho1,alanzoka,@Juniorferreira SADOIAFOÇIJAS´DGOIJFKASD
2025-04-02 18:06:28,eithaa,alanzoka,alanzGorfo
2025-04-02 18:06:28,douglasods,alanzoka,poha alan coloca banheiro mais afastado n pode nem cagar em paz
2025-04-02 18:06:29,springseasons,alanzoka,oxe tinha 2 pessoas em 1 banheiro?
